Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_H5Nx,preset_Score_CharlsonCI,preset_Score_SOFA
presentation,VITAL SIGNS & ASSESSMENTS ON ADMISSION: first available data at presentation/admission - within 24 hours.,advital_diastolicbp,number,Diastolic BP (mmHg),,number,0,,,[advital_datavital]='1',,"This refers to the first diastolic blood pressure measured in millimetres of Mercury (mmHg) recorded on presentation to the health facility. For example, if the blood pressure is 120/85 mmHg, enter 85 in the section marked 'diastolic BP'.","Record the first diastolic blood pressure measured in millimetres of mercury (mmHg) recorded on presentation to the health facility. For example, if the blood pressure is 120/85 mmHg, enter 85 in the section marked 'diastolic BP'.",SNOMED,271650006 |Diastolic blood pressure (observable entity)|,,,clinical_features,1,1,,1,,
presentation,VITAL SIGNS & ASSESSMENTS ON ADMISSION: first available data at presentation/admission - within 24 hours.,advital_spo2,number,Oxygen saturation SpO2 (%),,number,0,100,,[advital_datavital]='1',,"This refers to the first oxygen saturation, that may be measured by pulse oximetry or by arterial blood gas analysis, recorded on presentation to the health facility. It is irrespective of ventilation or supplemental oxygen requirement.",Enter the first percentage oxygen saturation recorded on presentation to the health facility. ,SNOMED,103228002 |Hemoglobin saturation with oxygen (observable entity)|,,,clinical_features,1,1,,1,,
presentation,VITAL SIGNS & ASSESSMENTS ON ADMISSION: first available data at presentation/admission - within 24 hours.,advital_o2supp_type,radio,Supplemental oxygen at point of SpO2 measured,"2, Yes-nasal prongs | 3, Yes-simple mask | 4, Yes-HFNO | 5, Yes-NIV | 6, Yes-IMV / ECMO | 0, No (Room air) | 99, Unknown",,,,,[advital_datavital]='1',,"This refers to the measured fraction of inspired oxygen (FiO2) delivered at the time of the above, lowest SpO2 (%), recording.","Indicate 'Yes', if the FiO2 was measured along-side the lowest oxygen saturation (SpO2) reported above.",SNOMED,250774007 |Inspired oxygen concentration (observable entity)|,,,clinical_features,1,1,,1,,
presentation,VITAL SIGNS & ASSESSMENTS ON ADMISSION: first available data at presentation/admission - within 24 hours.,advital_capillaryr,radio,Capillary refill time >2 seconds,"1, Yes | 0, No | 99, Unknown",,,,,[advital_datavital]='1',,Capillary refill time is measured by pressing on the sternum for five seconds with a finger or thumb until the underlying skin turns white and then noting the time in seconds needed for the colour to return once the pressure is released. ,"Indicate 'Yes', if the capillary refill time was greater than 2 seconds on presentation to the health facility. ",SNOMED,50427001 | Increased capillary filling time (finding)|,,,clinical_features,1,1,,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_feverplus,radio,Fever / chills / rigors,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,Defined as the sensation of elevated body temperature (fever) and associated involuntary muscle twitching/contractions (chills/rigors).,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"386661006, Fever | 248456009, Shivering or rigors (finding)","C0015967, Fever | C0036973, Shivering",,clinical_features,,1,1,,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_fever,radio,Fever,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the sensation of elevated body temperature without formal measurement, or a measured body temperature greater or equal to 38-degrees Celsius (38°C) or 100.4-Fahrenheit (100.4°F). ","Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",SNOMED,"386661006, Fever","C0015967, Fever",,clinical_features,1,,,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_restlessne,radio,Restlessness,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the inability to rest, relax or be still. A state of unease characterized by diffuse motor activity or motion subject to limited control, nonproductive or disorganized behaviour, and subjective distress.","Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",SNOMED,"162221009, Restlessness ","C3887611, Restlessness",,clinical_features,,1,,,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_fatigue,radio,Fatigue / malaise / lethargy,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the constellation of non-specific sensations: the feeling of tiredness characterised by a lack of energy or motivation; general discomfort or uneasiness; disinterestedness, listlessness, and indifference, resulting in difficulty performing simple tasks or concentrating.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"84229001, Fatigue |367391008, Malaise  |214264003, Lethargy","C0015672, Fatigue | C0231218, Malaise  | C0023380 Lethargy",,clinical_features,1,1,1,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_weight,radio,Weight loss,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the reduction in total body weight that has occurred since the onset of this illness and has been unintentional or not attributable to active dieting, exercise or dedicated medication based weight-loss interventions. This can include patient-reported weight loss with or without objective measurements of weight.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,448765001 Unintentional weight loss,C2363736 Unintentional Weight loss,,clinical_features,,,1,,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_anosmia,radio,Loss of smell / anosmia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to patient reported and/or clinician-diagnosed inability of the patient to perceive odours,"Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",SNOMED,"44169009, Loss of sense of smell","C0003126, Anosmia",,clinical_features,1,,,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_ageusia,radio,Loss of taste / ageusia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to patient reported and/or clinician-diagnosed loss of taste function of the tongue.,"Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",SNOMED,"36955009, Loss of taste","C2364111, Ageusia",,clinical_features,1,,,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_dizzy,radio,Feeling dizzy / faint,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"This refers to the subjective feeling of light-headedness or dizziness which may precede an episode of syncope or a sensation of unsteadiness, spinning or rocking.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"248223005, Feeling faint","C0581879, Felt faint",,clinical_features,,,,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_myalgia,radio,Muscle aches / myalgia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,Defined as pain localised to a muscle or group of muscles.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"68962001, Muscle pain","C0231528, Myalgia",,clinical_features,1,1,1,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_arthralgia,radio,Joint pain / arthralgia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as a sensation of marked discomfort or pain localised to one or more joints, including small and big joints.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"57676002, Joint pain ","C3805780, Arthralgia",,clinical_features,1,1,1,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinrash,radio,Skin rash,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as any change in the skin which affects its appearance or texture. A rash may be localized to one part of the body or affect all the skin. Rashes may cause the skin to change colour, itch, become warm, bumpy, dry, cracked, or blistered, swell and may be painful.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"271807003, Eruption of skin","C4227880, Skin Rash",,clinical_features,1,1,,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_pruritus,radio,Itch / pruritus,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,Defined as an unpleasant or intense itching sensation that produces the urge to rub or scratch the skin to obtain relief. Itching is an irritating sensation that makes you want to scratch your skin.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"418363000, Itching of skin","C0033774, Pruritus",,clinical_features,,,1,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_mobilchg,radio,Change in mobility from baseline,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to the patient's ability to walk or mobilise. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"282145008, Unable to walk","C4228638, Unable to walk",,clinical_features,1,,1,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_mobile,radio,Mobility status,"1, Fully ambulant | 2, Ambulant, but with some assistance | 3, Bedridden",,,,,[adsym_mobilchg]='1',Systemic/General,This refers to the patient's ability to walk or mobilise. ,Indicate the patient's mobility status at the time of presentation. ,SNOMED,"160680006, Fully mobile | 427512004, Dependent for walking | 160685001, Bed-ridden","C0231435, Mobile | CL573260, Walks with assistance | C0425251, Bed-ridden",,clinical_features,1,,1,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_lymph,radio,Lymphadenopathy,"1, Yes-painful | 2, Yes-not painful | 0, No | 99, Unknown",,,,,,Systemic/General,Defined as a clinical finding of abnormal enlargement of the lymph nodes. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"30746006, Lymphadenopathy","C4014613, Lymphadenopathy",,clinical_features,1,,1,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_lymphspec,checkbox,Specify lymphadenopathy site(s),"1, Axillary (arm pits) | 2, Cervical (neck)| 3, Inguinal (groin) | 88, Other | 99, Unknown",,,,,[adsym_lymph]='1' or [adsym_lymph]='2',Systemic/General,This refers to the location in which lymphadenopathy was identified.,Select the most appropriate option(s) corresponding to the location of lymphadenopathy. ,SNOMED,"127189005, Axillary lymphadenopathy  | 127086001, Cervical lymphadenopathy  | 127199000, Inguinal Lymphadenopathy",,,clinical_features,1,,1,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_lymphoth,text,Specify other lymphadenopathy site(s),,,,,,[adsym_lymphspec(88)]='1',Systemic/General,This refers to the location in which lymphadenopathy was identified.,"If 'Other', Write the other location of lymphadenopathy. ",,,,,clinical_features,1,,1,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cough,radio,Cough,"1, Yes | 0, No | 99, Unknown",,,,,,Cardiorespiratory,"This refers to the presence of a cough and its characteristics. A productive cough refers to a cough accompanied by expectorated secretions (phlegm or mucus), while a non-productive cough refers to one which is not accompanied by expectorated secretions. Haemoptysis refers to the presence of blood or blood-streaked sputum from the respiratory tract.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"49727002, Cough (finding)","C0010200, Coughing",,clinical_features,1,1,1,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cough_nonprod,radio,Non-productive ,"1, Yes | 0, No | 99, Unknown",,,,,[adsym_cough] = '1',Cardiorespiratory,A non-productive cough refers to one which is not accompanied by expectorated secretions.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"11833005, Dry Cough",C0850149 Non-Productive Cough,,clinical_features,1,1,1,1,,
presentation,SIGNS AND SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cough_prod,radio,Productive,"1, Yes | 0, No | 99, Unknown",,,,,[adsym_cough] = '1',Cardiorespiratory,A productive cough refers to a cough accompanied by expectorated secretions (phlegm or mucus),"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,28743005 Productive Cough,C0451597 Productive Cough ,,clinical_features,1,1,1,1,,
