Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,preset_Disease_Core,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Degnuenew,preset_Disease_Degnuegreen,preset_Disease_Degnueyellow,preset_Disease_Mpox,preset_Disease_Nipah,preset_Disease_Nigeria_Mpox,preset_Syndrome_Generic,preset_Syndrome_Influenza-like,preset_Syndrome_Neurologic,preset_Syndrome_Gastro,preset_Score_CharlsonCI,preset_Score_4C,preset_Score_SOFA,preset_Score_qSOFA,preset_Score_CURB65,preset_Score_SMARTCOP,preset_Score_APACHEII,preset_Score_NEWS,preset_Score_MPOXSSS,preset_Score_SF94,preset_Score_HospitalRecoveryScale,preset_Score_DengueWS,preset_WHOSchema_Day0,GHDay0,COMMENTS
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_sti,radio,Concurrent Sexually transmitted infection (STI),"1, Yes | 0, No | 99, Unknown",,,,,,Genitourinary,"This refers to the presence of a confirmed, active sexually transmitted infection (STI). Defined as infections due to or propagated by sexual contact including: Chlamydia, Genital Herpes/Warts/HPV, Gonorrhea, Public lice, Syphilis, Trichomoniasis, Lymphogranuloma venereum, HIV/AIDS, Hepatitis B, Hepatitis C among others. ","Indicate 'Yes', if the patient has been diagnosed with a STI since the onset of this acute illness and presentation or admission.",SNOMED,"8098009, Sexually transmitted infectious disease","CL1399179, Sexually transmitted infections",,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_sti_spec,text,State diagnosis of current STI,,,,,,[adsym_sti]='1',Genitourinary,This refers to the specific STI diagnosis.,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_haemorrhag,group,Bleeding / Haemorrhage,,,,,,,Haematology,This question group refers to the presence of bleeding or haemorrhage.,Proceed with the following questions pertaining to bleeding/haemorrhage.,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_haemorrhag_yn,radio,Bleeding / Haemorrhage,"1, Yes | 0, No | 99, Unknown",,,,,,Haematology,"Defined as the presence of blood in a location in which it is not physiologically normal or loss of blood from the circulation, either internally or externally. This can include epistaxis (blood from nose), gingival bleeding (blood from gums/gingiva), blood from any part of the gastrointestinal tract (gastrointestinal bleeding) or genitourinary tracts (vagina or urethra) including hematuria. ","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"131148009, Bleeding","C3163616, Blood loss",1,1,1,1,1,1,1,1,,1,1,,1,,,,,,,,,,,,1,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_haemorrhag_site,checkbox,Specify bleeding / haemorrhage site(s),"1, Skin | 2, Nose | 3, Gums |4, GI tract | 5, Urinary tract | 6, Vagina | 88, Other",,,,,[adsym_haemorrhag_yn] = '1',Haematology,This refers to the site(s) of bleeding.,Select the most appropriate option/s corresponding to the type or location of bleeding/haemorrhage site(s).,SNOMED,"297968009, Bleeding skin | 249366005, Bleeding from nose | 86276007, Bleeding gums | 74474003, Gastrointestinal haemorrhage |34436003, blood in urine | 289530006, Bleeding from vagina","C0574741, Bleeding skin | C3808808, Epistaxis | C0017565, Gingival haemorrrhage | C0017181, Gastrointestinal haemorrhage |C3805433, haematuria | C0566961, Fresh bleeding from vagina",1,1,1,1,1,1,1,,,1,1,,1,,,,,,,,,,,,1,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_haemorrhag_oth,text,Specify other bleeding / haemorrhage site(s),,,,,,[adsym_haemorrhag_site(88)]='1',Haematology,This refers to the site(s) of bleeding.,,,,,1,1,1,1,1,,1,,,1,1,,1,,,,,,,,,,,,1,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_arrhythmia,radio,Arrhythmia,"1, Yes | 0, No | 99, Unknown",,,,,,Haematology,,,SNOMED,698247007,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_circfail,radio,Circulatory failure (Cardiac or other),"1, Yes | 0, No | 99, Unknown",,,,,,Haematology,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_jaund,radio,Jaundice,"1, Yes | 0, No | 99, Unknown",,,,,,Hepatobiliary,"Defined as the clinical assessment or impression by direct obeservation indicating the presence of jaundice, a clinical manifestation of hyperbilirubinemia, consisting of deposition of bile pigments in the skin, resulting in a yellowish staining of the skin and mucous membranes.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"18165001, Jaundice","C3549846, Jaundice",,,,,,,1,1,,1,,,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_liverenl,radio,Liver enlargement,"1, Yes | 0, No | 99, Unknown",,,,,,Hepatobiliary,"Refers to liver englargment greater than two centimeters (2cm) below the costal margin, in relation to expected size for patients age. This may be detected on clinical examination or a radiological study.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,1,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_myalgia,radio,Muscle aches / Myalgia,"1, Yes | 0, No | 99, Unknown",,,,,,Musculoskeletal,Defined as pain localised to a muscle or group of muscles.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"68962001, Muscle pain","C0231528, Myalgia",1,1,1,1,1,,1,1,,,1,1,,,,,,,,,,,,,1,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_arthralgia,radio,Joint pain / Arthralgia,"1, Yes | 0, No | 99, Unknown",,,,,,Musculoskeletal,Defined as a sensation of marked discomfort in a joint.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"57676002, Joint pain ","C3805780, Arthralgia",1,1,1,1,1,,1,1,,,1,1,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_headache,radio,Headache,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"Defined as the experience of pain in various parts of the head, not confined to the are of distribution of any nerve.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"25064002, Headache","C0018681, Headache",1,1,1,1,1,,1,1,,1,1,1,,,,,,,,,,,,,1,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_neckstiff,radio,Neck stiffness,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"Defined as a sensation of tightness in the neck when attempting to move it, especially after a period of inactivity. Neck stiffness often involves soreness and difficulty moving the neck, especially when trying to turn the head to the side.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,161882006 | Stiff neck (finding) |,"C0151315, Neck Stiffness",,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_photoph,radio,Photophobia,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,Refers to increased sensitivity of the eyes to light.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,409668002 | Photophobia (finding) |,"C3807325, Photophobia",,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_retroorbit,radio,Retro-orbital pain,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,Defined as the experience of pain in the retro-orbital region (behind the eyes).,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"41652007, Pain in eye","C0743724, retro-orbital pain",,,1,1,1,,,1,,,,1,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_convulsion,radio,Convulsions,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"Defined as an intermittent abnormality of nervous system physiology characterised by a transient occurrence of sudden, violent, irregular movement of the body, caused by involuntary contraction of muscles due to abnormal excessive or synchronous neuronal activity in the brain.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"91175000, Seizure","C2748942, Seizure",,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_seizconv,radio,Seizures / Convulsions,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"Defined as an intermittent abnormality of nervous system physiology characterised by a transient occurrence of sudden, violent, irregular movement of the body, caused by involuntary contraction of muscles due to abnormal excessive or synchronous neuronal activity in the brain.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"91175000, Seizure","C2748942, Seizure",,,1,1,1,,,1,,,,1,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_seizconvty,radio,Type of seizure,"1, Focal | 2, Generalised tonic clonic | 99, Unknown",,,,,[adsym_seizconv]='1',Nervous system,"Focal seizure, sometimes refered to as partial seizure. Generalised tonic clonic seizure refers to the presence of bilateral symmetric or sometimes asymmetric tonic contraction and then bilateral clonic contraction of somatic muscles, usually associated with autonomic phenomena and loss of awareness. ",Select the single most appropriate option. If the seizure type is unclear or has not been witnessed Select 'Unknown'.,SNOMED,"1, 29753000 | Focal onset epileptic seizure (finding) |2, 1217209006 | Generalized onset tonic-clonic epileptic seizure (finding) |",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_confusion,radio,Altered consciousness / confusion,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,Defined as a level of awareness or arousal other than the patient's normal baseline.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"443371007, Decreased level of consciousness","C0150450, Altered level of consciousness",1,1,,,,,1,1,,1,1,1,1,,,,,1,1,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_encephalitis,radio,Encephalitis,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"Encephalitis refers to inflammation of the brain. In comparison with meningitis, in encephalitis, abnormalities in brain function are expected, including altered mental status, motor or sensory deficits, altered behaviour and personality changes, and speech or movement disorders. It is defined by an altered mental status lasting >= 24 hours along with two of the following criteria: documented fever >= 38° C (100.4°F); white blood cell count (WBC) in cerebrospinal fluid (CSF) >= 5 per mm³; generalized or partial seizures not fully attributable to a preexisting seizure disorder; new onset of focal neurological findings; presence of compatible acute lesion on neuroimaging; abnormality on electroencephalography that is consistent with encephalitits and not attributable to another cause. As outlined by the 2013 International Encephalitis Consortium.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"45170000, Encephalitis","C0014038, Encephalitis",,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_neurodist,radio,Psychological disturbance,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"This refers to the presence of signs or symptoms that affect an individual's thoughts, emotions, behviours or mental well-being. The presence of psychological disturbances should be identfied through a Mental Status Examination (MSE) or equivalent tool.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"81659004, Psychological sign or symptom","C0233395, Psychological sign or symptom",,,,,,,1,1,,,,1,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_seizures,radio,Seizures,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"Defined as an intermittent abnormality of nervous system physiology characterised by a transient occurrence of sudden, violent, irregular movement of the body, caused by involuntary contraction of muscles due to abnormal excessive or synchronous neuronal activity in the brain.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"91175000, Seizure","C2748942, Seizure",,1,1,1,,,1,,,1,,1,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_myoclon,radio,Myoclonus,"1, Yes | 0, No",,,,,,Nervous system,"Refers to a rapid, involuntary jerk of a muscle or group of muscles.","Indicate 'Yes', if the patient experienced this at anytime since the onset of this acute illness and presentation or admission.",SNOMED,17450006 | Myoclonus (finding) |,CL474527,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_cerebesig,radio,Cerebellar signs,"1, Yes | 0, No",,,,,,Nervous system,"Refers to the presence of a constellation of neurological signs typically involving coordination. Sings include: dysdiadochokinesia, dysmetria, ataxia, nystagmus, intention tremor, slurred or scanning speech, hypotonia.","Indicate 'Yes', if theses signs were present at anytime since the onset of this acute illness and presentation or admission.",,,"C3807868, Cerebellar signs",,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_tremor,radio,Tremor,"1, Yes | 0, No",,,,,,Nervous system,Refers to unintentional trembling or shaking of one or more body parts.,"Indicate 'Yes', if the patient experienced this at anytime since the onset of this acute illness and presentation or admission.",SNOMED,26079004 | Tremor (finding) |,C3805748,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,
